"STU_ID","X1SES","X1MTHEFF","X1TXMTSCOR","X3TGPAMAT"
"10450",-0.9992,0.1,53.2206,3.5
"10451",-1.0941,0.55,46.6934,2.5
"10452",-0.3332,0.1,39.6972,2.5
"10453",0.4963,-7,31.7329,0.5
"10456",-0.4129,1.34,64.5262,3.5
"10458",-0.0296,-0.58,50.9527,4
"10459",0.0332,-2.92,26.1576,1
"10461",-0.1646,-2.09,46.5177,1
"10464",0.0588,0.1,43.4159,2.5
"10465",-0.8132,0.1,31.5178,1.5
"10471",-0.5005,-0.34,58.7545,2
"10472",0.2313,-2.07,43.5643,1.5
"10476",-0.5354,0.1,44.8689,2.5
"10477",-0.4232,-9,44.0625,1
"10478",-1.1012,-1.29,39.6863,1.5
"10481",0.7785,0.55,53.9968,3
"10483",0.3681,0.51,53.5974,3.5
"10484",-0.0692,-1.05,42.0284,1.5
"10485",-0.4924,0.1,59.6913,2
"10486",0.9828,0.1,48.4727,2.5
"10489",-0.6811,-7,43.4398,1.5
"10491",-1.1487,-7,49.3065,0.25
"10492",0.0478,-1.41,43.208,2.5
"10493",-0.3554,-7,42.5544,0.5
"10494",1.8918,0.49,68.0845,3.5
"10496",0.0829,-7,50.6754,2.5
"10497",-0.2082,-1.43,46.1224,1
"10498",0.4358,0.9,49.5608,3.5
"10500",0.6763,-7,24.6495,1.5
"10501",-0.4293,-0.17,42.9584,2
"10502",0.3498,1.62,64.3964,3
"10505",0.3902,1.62,50.1894,1.5
"10506",0.7523,1.62,52.5725,2.5
"10507",0.5765,-0.97,39.3988,3.5
"10509",-0.8952,-1.41,26.6466,1.5
"10511",-0.9069,-7,56.3629,3
"10514",-1.3682,-0.34,34.338,1.5
"10515",0.1186,-0.58,44.3306,1.5
"10516",0.0557,-1.43,49.2338,1.5
"10518",-0.5858,-0.17,56.5386,2.5
"10519",1.1228,-7,45.7167,2
"10520",-0.482,-0.17,58.2189,3
"10523",-0.2258,1.34,28.4646,2
"10526",-0.9138,-0.58,40.0434,1.5
"10528",0.2883,0.56,40.286,3
"10530",1.5003,-0.17,47.5417,1.5
"10531",-0.3499,-1.02,48.3921,1.5
"10532",-0.8455,-7,48.418,2.5
"10534",1.2371,0.1,60.7943,3.5
"10535",0.942,0.1,61.0587,3
"10536",-0.5434,-0.03,50.2118,1.5
"10541",-0.7212,-7,56.284,4
"10543",0.2128,0.66,58.1901,2.5
"10545",-0.0471,-0.58,38.9965,1.5
"10548",0.3837,1.34,61.868,2
"10549",-0.7077,-7,39.3102,2.5
"10551",0.3765,1.62,53.6403,2.5
"10553",-0.3332,1.34,54.0808,3.5
"10554",-1.1012,-0.17,56.7184,3.5
"10556",-0.8725,0.1,49.4891,2
"10557",-0.5139,-7,28.6255,2.5
"10558",-1.1433,0.1,47.8165,2
"10559",1.1431,1.62,67.4193,3.5
"10560",0.4189,-0.56,59.7994,3
"10562",-0.239,0.1,51.3038,2
"10565",-0.3007,-0.56,30.3445,2
"10566",0.3648,0.95,50.3011,2.5
"10567",-0.2881,-2.12,25.8585,0.5
"10569",-0.482,-0.17,47.7157,2
"10570",-0.1431,-0.3,61.0647,2.5
"10574",1.591,1.62,71.0859,4
"10575",0.3514,0.55,48.2342,0.5
"10578",-1.2098,-7,45.3979,1.5
"10580",0.1874,1.62,66.245,2
"10581",0.221,-0.17,46.3058,0.25
"10582",0.5911,0.1,63.6239,3
"10583",-0.0373,1.62,56.8533,3.5
"10586",-0.4469,-1.41,51.3325,1
"10587",-0.7429,0.1,35.9553,2
"10591",0.0414,-0.46,68.0132,4
"10592",0.5941,-0.58,50.8612,3
"10595",-0.765,-1.14,44.9148,1.5
"10597",-1.183,1.34,51.6339,1
"10598",0.1778,1.21,68.9579,3
"10601",1.0808,-7,50.2135,4
"10602",-1.1085,-0.56,33.142,2.5
"10603",1.3586,1.62,58.2733,4
"10606",-1.0251,0.1,38.5902,1.5
"10607",-0.1277,0.1,59.3995,3
"10608",0.0851,1.62,58.4142,3.5
"10611",0.6856,0.1,60.5107,3.5
"10613",0.2706,0.51,70.4381,3.5
"10614",0.1856,-0.69,47.2842,1.5
"10615",-0.2477,0.95,65.4518,2.5
"10616",0.3672,-1,44.7665,3
"10617",0.1367,1.62,51.9333,3.5
"10618",-0.71,-1.1,33.4505,1.5
"10619",0.2909,1.62,52.9208,3
"10620",0.0813,-1.24,51.525,1
"10621",0.9587,-7,43.0353,2
"10622",0.4007,-7,59.9258,3
"10624",-0.5465,-0.56,48.2558,0.5
"10625",0.0962,-0.73,53.9947,1.5
"10626",-0.5813,-0.17,63.2938,1.5
"10627",-1.2803,-7,43.4095,1
"10629",-0.5771,-1.82,60.2255,2.5
"10630",-1.0375,-7,31.3379,1.5
"10632",-0.5592,0.1,60.098,3.5
"10635",1.3326,-0.17,63.4433,3
"10636",0.0607,-7,44.1769,1.5
"10637",0.4937,0.1,56.8395,2
"10640",0.0443,-1.41,45.6187,1.5
"10643",-0.7281,-0.56,37.2166,1.5
"10644",0.0374,0.1,37.2518,1.5
"10645",-0.0754,0.1,48.1008,3
"10646",0.3259,-1.02,46.7323,1.5
"10647",-0.0996,-2.92,64.7951,3
"10649",0.8831,-1.65,39.7702,1.5
"10650",0.7132,-0.58,48.1363,1.5
"10653",0.4613,-1.08,58.6369,2.5
"10654",-0.5142,-0.56,67.065,2
"10655",1.0269,-0.75,68.2583,3.5
